,income
38068,0
1629,0
5741,0
30694,0
11863,0
12200,0
1225,0
4185,0
25175,0
11330,1
4672,0
34234,1
8990,0
44389,0
1606,0
26121,1
31957,0
13692,0
23454,0
6562,0
18922,0
42974,0
3027,1
19723,0
8790,1
6993,0
1044,0
27559,0
21370,0
5657,1
44965,0
35373,1
40263,1
9024,1
42990,0
10187,0
37910,0
38598,1
42914,0
32172,0
29216,0
12879,1
41011,0
14225,0
26609,0
46813,1
10469,0
11764,1
46800,0
41298,0
25967,1
1887,1
14137,0
7993,0
16279,0
10768,1
2379,0
20045,0
43239,0
43413,0
14450,0
13874,1
10523,0
42269,0
29506,0
22243,0
4938,0
37066,1
27409,0
10977,0
12957,0
27074,0
24610,1
38192,0
25693,0
6211,0
18022,0
38743,1
33347,0
31063,0
37580,0
2687,1
13602,0
16376,0
23411,1
44970,0
35251,1
2407,0
23532,0
31387,1
42179,0
445,0
5003,0
8240,0
34375,1
17173,1
21770,0
13187,1
9531,0
37727,0
34293,0
46569,0
34464,0
7847,0
11249,0
10520,0
13022,0
17993,0
25362,0
14576,0
4734,0
17564,0
6848,0
46499,0
25856,0
14835,1
44151,1
5719,0
4080,0
6138,0
21442,0
41926,0
30141,0
4985,0
29992,0
27997,0
43368,1
13738,0
22751,0
12545,0
10411,0
4216,0
38880,0
46146,1
36702,0
45766,0
25392,0
10748,0
1642,1
34079,0
40878,1
37361,0
28854,0
19184,0
11323,0
15107,0
4103,0
2574,1
22940,0
25369,1
20710,0
28659,0
34899,0
11040,1
7885,0
14327,0
4776,1
34136,0
7655,0
36717,0
48099,0
46972,0
31649,0
32500,0
3601,0
41841,1
33731,1
10923,0
27096,0
34157,0
10127,0
1313,0
2261,0
31792,0
34772,0
30639,1
37746,0
20379,1
18509,0
29881,0
10197,0
28380,0
18705,0
15775,1
33075,0
21993,1
2732,0
14018,0
18969,0
6028,0
24721,0
25928,0
35365,0
10245,0
26294,0
5128,0
26379,0
4873,1
39581,0
10353,0
2452,0
24302,0
22430,1
15148,0
30318,1
26776,0
24087,0
18423,0
33389,1
13174,0
48210,0
38713,0
37013,0
24014,1
36641,0
42582,0
22159,0
35072,0
12904,1
13014,0
27017,0
16047,0
498,0
20348,0
27844,0
33131,0
20920,0
13904,0
26907,0
11705,0
41477,0
20284,0
23761,0
48531,1
28376,0
1406,0
8905,0
46831,0
35499,0
36093,1
47327,0
28086,0
24327,1
42383,0
35673,0
37005,0
48678,0
32697,1
12902,0
15944,1
45898,0
18771,0
26962,0
27351,0
8985,0
46491,1
34581,0
14662,0
17827,0
44450,0
25508,0
37677,0
36530,0
39235,0
26645,0
